animal_id,animal_type,sex,yrs,mnth,breed,color_prim,color_sec,los,intake_type,intake_subtype,intake_date,outcome_type,outcome_subtype,outcome_date
A260145,CAT,N,7,0,DOMESTIC SH,TAB MACKRL,ORANGE,21,OWNER SUR,EVALUATION,1/11/18,EUTH,SICK-URINE,1/12/18
A260143,CAT,N,12,0,DOMESTIC SH,TAB MAC WH,WHITE,21,OWNER SUR,EVALUATION,1/11/18,ADOPTION,NEW OWNER,1/20/18
A259856,OTHER,M,0,0.7,MOUSE-DOMESTIC,BLACK,,47,OWNER SUR,EVALUATION,12/16/17,,,
A258430,DOG,N,8,0,BOXER,RED,WHITE,21,OWNER SUR,EVALUATION,1/11/18,ADOPTION,TIER 2,1/21/18
A260142,CAT,S,11,0,DOMESTIC SH,GRAY,WHITE,21,OWNER SUR,EVALUATION,1/11/18,,,
A259203,CAT,N,10,0,DOMESTIC SH,GRAY,TAB MAC WH,21,RETURN,ADOPTION,1/11/18,ADOPTION,SPEC ADOPT,1/19/18
A259317,CAT,N,0,2.5,DOMESTIC SH,TAB MAC WH,ORANGE,85,OWNER SUR,EVALUATION,11/8/17,,,
A259202,CAT,N,10,0,DOMESTIC SH,GRAY,WHITE,21,RETURN,ADOPTION,1/11/18,ADOPTION,SPEC ADOPT,1/19/18
A260144,CAT,S,0,10,DOMESTIC SH,CALICO-DIL,,21,STRAY,STRAY,1/11/18,ADOPTION,NEW OWNER,1/13/18
A260201,DOG,F,0,0.3,MIX THAT LOOKS LIKE A COCKER SPAN,BLACK,WHITE,20,BRN N CARE,TRNSFR-EXT,1/12/18,,,
A260200,DOG,M,0,0.3,MIX THAT LOOKS LIKE A COCKER SPAN,WHITE,,20,BRN N CARE,TRNSFR-EXT,1/12/18,,,
A260197,DOG,F,0,0.3,MIX THAT LOOKS LIKE A COCKER SPAN,BUFF,WHITE,20,BRN N CARE,TRNSFR-EXT,1/12/18,DIED,AT SHELTER,1/17/18
A260198,DOG,U,0,0.3,MIX THAT LOOKS LIKE A COCKER SPAN,BUFF,WHITE,20,BRN N CARE,TRNSFR-EXT,1/12/18,DIED,FOSTERCARE,1/19/18
A259857,OTHER,M,0,0.7,MOUSE-DOMESTIC,BLACK,,47,OWNER SUR,EVALUATION,12/16/17,,,
A260199,DOG,U,0,0.3,MIX THAT LOOKS LIKE A COCKER SPAN,BUFF,WHITE,20,BRN N CARE,TRNSFR-EXT,1/12/18,EUTH,SICK-OTHER,1/20/18
A259668,OTHER,F,0,1.5,GUINEA PIG,BROWN,WHITE,62,OWNER SUR,EVALUATION,12/1/17,,,
A259669,OTHER,F,0,1.5,GUINEA PIG,TRICOLOR,,62,OWNER SUR,EVALUATION,12/1/17,,,
A170162,CAT,N,0,7,DOMESTIC SH,TAB MACKRL,GRAY,42,OWNER SUR,EVALUATION,12/21/17,,,
A260148,DOG,F,0,1,MIX THAT LOOKS LIKE A LABRADOR RETR,BLACK,,20,OWNER SUR,EVALUATION,1/12/18,,,
A260147,DOG,F,0,1,MIX THAT LOOKS LIKE A LABRADOR RETR,BLACK,,20,OWNER SUR,EVALUATION,1/12/18,,,
A260161,CAT,F,0,0.1,DOMESTIC SH,TAB MACKRL,GRAY,20,OWNER SUR,EVALUATION,1/12/18,,,
A260163,CAT,F,0,0.1,DOMESTIC SH,TAB MACKRL,GRAY,20,OWNER SUR,EVALUATION,1/12/18,,,
A260146,DOG,F,0,1,MIX THAT LOOKS LIKE A LABRADOR RETR,BRINDLE,,20,OWNER SUR,EVALUATION,1/12/18,,,
A259540,DOG,S,0,6,CHIHUAHUA SH / DACHSHUND,TAN,,69,OWNER SUR,EVALUATION,11/24/17,,,
A260162,CAT,M,0,0.1,DOMESTIC SH,TAB MACKRL,GRAY,20,OWNER SUR,EVALUATION,1/12/18,,,
A260164,CAT,M,0,0.1,DOMESTIC SH,GRAY,WHITE,20,OWNER SUR,EVALUATION,1/12/18,,,
A260159,CAT,F,1,6,DOMESTIC SH,TAB MACKRL,GRAY,20,OWNER SUR,EVALUATION,1/12/18,,,
A259234,DOG,N,0,0.1,CHIHUAHUA SH,TAN,,91,OWNER SUR,HMHL,11/2/17,,,
A259235,DOG,S,0,0.1,CHIHUAHUA SH,TAN,,91,OWNER SUR,HMHL,11/2/17,ADOPTION,NEW OWNER,1/26/18
A259237,DOG,N,0,0.1,CHIHUAHUA SH,TAN,WHITE,91,OWNER SUR,HMHL,11/2/17,ADOPTION,NEW OWNER,1/27/18
A259236,DOG,S,0,0.1,CHIHUAHUA LH,TAN,WHITE,91,OWNER SUR,HMHL,11/2/17,,,
A260151,DOG,F,0,1,MIX THAT LOOKS LIKE A LABRADOR RETR,BLACK,WHITE,20,OWNER SUR,EVALUATION,1/12/18,,,
A260165,CAT,F,0,0.1,DOMESTIC SH,GRAY,WHITE,20,OWNER SUR,EVALUATION,1/12/18,,,
A260160,CAT,F,0,0.1,DOMESTIC SH,TAB MACKRL,GRAY,20,OWNER SUR,EVALUATION,1/12/18,,,
A257534,DOG,N,8,3,POMERANIAN,BLACK,WHITE,181,OWNER SUR,LAW ENFORC,8/4/17,,,
A259254,OTHER,U,0,0,LIONHEAD,BROWN,,92,OWNER SUR,LAW ENFORC,11/1/17,,,
A260155,CAT,S,5,0,DOMESTIC SH,TAB MAC WH,GRAY,20,OWNER SUR,EVALUATION,1/12/18,ADOPTION,NEW OWNER,1/18/18
A257817,CAT,N,2,0,DOMESTIC SH,TAB MACKRL,BROWN,168,OWNER SUR,LAW ENFORC,8/17/17,ADOPTION,NEW OWNER,1/20/18
A260157,CAT,S,1,3,DOMESTIC LH,TAB MAC WH,BROWN,20,OWNER SUR,EVALUATION,1/12/18,ADOPTION,NEW OWNER,1/18/18
A204836,CAT,N,1,0,DOMESTIC SH,BLACK,,20,OWNER SUR,EVALUATION,1/12/18,ADOPTION,NEW OWNER,1/19/18
A259222,CAT,S,0,2,DOMESTIC SH,TORTIE,,20,OWNER SUR,EVALUATION,1/12/18,ADOPTION,NEW OWNER,1/20/18
A260152,DOG,N,0,1,MIX THAT LOOKS LIKE A LABRADOR RETR,BLACK,,20,OWNER SUR,EVALUATION,1/12/18,,,
A259252,OTHER,S,1,0,LIONHEAD,BROWN,,92,OWNER SUR,LAW ENFORC,11/1/17,ADOPTION,NEW OWNER,1/28/18
A260149,DOG,N,0,1,MIX THAT LOOKS LIKE A LABRADOR RETR,BLACK,WHITE,20,OWNER SUR,EVALUATION,1/12/18,,,
A260150,DOG,N,0,1,MIX THAT LOOKS LIKE A LABRADOR RETR,BLACK,WHITE,20,OWNER SUR,EVALUATION,1/12/18,,,
A259519,CAT,S,1,0,SIAMESE,PT-SEAL,,20,RETURN,ADOPTION,1/12/18,ADOPTION,TIER 1,1/13/18
A260156,CAT,S,12,0,DOMESTIC SH,TAB CLS WH,GRAY,20,STRAY,STRAY,1/12/18,,,
A257780,DOG,S,1,6,MIX THAT LOOKS LIKE A BORDER COLLIE,WHITE,TAN,132,RETURN,ADOPTION,9/22/17,,,
A257556,DOG,S,12,0,SILKY TERRIER,BLACK,TAN,93,RETURN,ADOPTION,10/31/17,,,
A260154,BIRD,F,1,0,CHICKEN,RED,,20,STRAY,STRAY,1/12/18,RTO,LOST REPRT,1/13/18
A259722,CAT,N,6,0,DOMESTIC SH,TAB MAC WH,GRAY,44,RETURN,ADOPTION,12/19/17,ADOPTION,NEW OWNER,1/2/18
A193109,CAT,S,1,0,DOMESTIC LH,WHITE,,34,RETURN,ADOPTION,12/29/17,ADOPTION,NEW OWNER,1/5/18
A259883,OTHER,S,2,0,NEW ZEALAND WHT,WHITE,,33,RETURN,ADOPTION,12/30/17,ADOPTION,NEW OWNER,1/9/18
A258855,DOG,S,1,2,MIX THAT LOOKS LIKE A PIT BULL,BROWN,,78,RETURN,ADOPTION,11/15/17,ADOPTION,TIER 2,1/10/18
A260153,CAT,S,0,8,DOMESTIC SH,BLACK,WHITE,20,STRAY,STRAY,1/12/18,ADOPTION,NEW OWNER,1/23/18
A259693,CAT,S,8,0,DOMESTIC LH,BLACK,WHITE,34,RETURN,ADOPTION,12/29/17,ADOPTION,NEW OWNER,1/13/18
A260158,BIRD,U,1,6,OWL-SCREECH,BROWN,WHITE,20,WILDLIFE,WILDLIFE,1/12/18,TRNSFR-EXT,TUFTS,1/12/18
A259703,CAT,S,1,0,DOMESTIC SH,TAB MACKRL,BROWN,37,RETURN,ADOPTION,12/26/17,ADOPTION,NEW OWNER,1/14/18
A260181,CAT,S,0,3,DOMESTIC SH,TORTIE-DIL,,19,OWNER SUR,EVALUATION,1/13/18,ADOPTION,NEW OWNER,1/18/18
A260169,DOG,N,0,7,MIX THAT LOOKS LIKE A PIT BULL,BRINDLE,WHITE,19,OWNER SUR,EVALUATION,1/13/18,ADOPTION,TIER 2,1/19/18
A260182,CAT,N,6,0,DOMESTIC SH,BLACK,WHITE,19,OWNER SUR,EVALUATION,1/13/18,ADOPTION,NEW OWNER,1/20/18
A260184,CAT,N,2,6,DOMESTIC SH,BLACK,WHITE,19,OWNER SUR,EVALUATION,1/13/18,ADOPTION,NEW OWNER,1/20/18
A260185,CAT,S,0,10,DOMESTIC SH,TAB MAC WH,BROWN,19,OWNER SUR,EVALUATION,1/13/18,ADOPTION,NEW OWNER,1/20/18
A260183,CAT,N,6,0,DOMESTIC LH,GRAY,WHITE,19,OWNER SUR,EVALUATION,1/13/18,ADOPTION,NEW OWNER,1/20/18
A259093,CAT,N,8,0,DOMESTIC LH,TAB MAC WH,BROWN,33,RETURN,ADOPTION,12/30/17,ADOPTION,SPEC ADOPT,1/27/18
A260174,OTHER,M,2,0,GUINEA PIG,AGOUTI,,19,OWNER SUR,EVALUATION,1/13/18,ADOPTION,NEW OWNER,1/25/18
A259373,DOG,S,0,11,MIX THAT LOOKS LIKE A GREAT PYRENEES,WHITE,,55,RETURN,ADOPTION,12/8/17,ADOPTION,TIER 3,1/28/18
A215688,DOG,S,0,0,MIX THAT LOOKS LIKE A COCKER SPAN,BLUE MERLE,WHITE,19,OWNER SUR,EVALUATION,1/13/18,,,
A258313,DOG,S,4,0,MIX THAT LOOKS LIKE A BEAGLE,BRINDLE,WHITE,19,OWNER SUR,EVALUATION,1/13/18,,,
A260188,CAT,F,0,8,DOMESTIC LH,GRAY,,19,STRAY,STRAY,1/13/18,RELEASE,TNR,1/18/18
A259725,DOG,S,1,0,MIX THAT LOOKS LIKE A PIT BULL,BRINDLE,WHITE,44,RETURN,ADOPTION,12/19/17,ADOPTION,TIER 3,1/30/18
A260186,CAT,S,10,0,DOMESTIC LH,BLACK,,19,STRAY,STRAY,1/13/18,ADOPTION,NEW OWNER,1/20/18
A260187,CAT,N,1,8,DOMESTIC SH,BLACK,,19,STRAY,STRAY,1/13/18,EUTH,SICK-OTHER,1/27/18
A259862,DOG,S,0,8,MIX THAT LOOKS LIKE A PIT BULL,BROWN,WHITE,40,RETURN,ADOPTION,12/23/17,,,
A260168,DOG,N,11,0,MIX THAT LOOKS LIKE A PEKINGESE,WHITE,,19,TRNSFR-EXT,ACO,1/13/18,ADOPTION,TIER 2,1/28/18
A260172,OTHER,F,0,5,RAT,TAN,,19,TRNSFR-EXT,RESCUE GRP,1/13/18,ADOPTION,NEW OWNER,1/18/18
A260171,OTHER,F,0,5,RAT,GRAY,WHITE,19,TRNSFR-EXT,RESCUE GRP,1/13/18,ADOPTION,TIER 1,1/21/18
A256759,BIRD,U,1,0,DOVE,WHITE,,83,RETURN,ADOPTION,11/10/17,,,
A259756,DOG,S,2,0,CHIHUAHUA SH,TAN,WHITE,40,RETURN,ADOPTION,12/23/17,,,
A259374,DOG,S,1,0,MIX THAT LOOKS LIKE A GREAT PYRENEES,WHITE,CREAM,63,RETURN,ADOPTION,11/30/17,,,
A251578,BIRD,U,1,0,PIGEON,GRAY,,540,RETURN,TUFTS,8/10/16,,,
A254401,DOG,M,1,0,PIT BULL,BLUE,WHITE,390,RETURN,TUFTS,1/7/17,,,
A259504,DOG,N,0,4,SHIH TZU,BLACK,WHITE,69,RETURN,TUFTS,11/24/17,ADOPTION,NEW OWNER,1/6/18
A259499,CAT,S,5,0,SIAMESE,PT-CHOCOLA,,68,RETURN,TUFTS,11/25/17,ADOPTION,NEW OWNER,1/7/18
A259915,CAT,N,3,0,DOMESTIC LH,TAB MACKRL,BROWN,42,STRAY,FERAL,12/21/17,,,
A260170,OTHER,F,0,5,RAT,GRAY,WHITE,19,TRNSFR-EXT,RESCUE GRP,1/13/18,ADOPTION,NEW OWNER,1/25/18
A260173,OTHER,F,0,5,RAT,TAN,,19,TRNSFR-EXT,RESCUE GRP,1/13/18,ADOPTION,NEW OWNER,1/25/18
A260166,OTHER,M,0,4,RAT / REX,GRAY,,19,TRNSFR-EXT,RESCUE GRP,1/13/18,ADOPTION,NEW OWNER,1/26/18
A251581,CAT,N,0,1.5,DOMESTIC SH,GRAY,,562,STRAY,STRAY,7/19/16,,,
A251580,CAT,N,0,1.5,DOMESTIC SH,BUFF,,562,STRAY,STRAY,7/19/16,,,
A257664,CAT,N,0,3,DOMESTIC SH,BLACK,,176,STRAY,STRAY,8/9/17,,,
A258807,BIRD,M,1,0,CHICKEN,RED,BLACK,118,STRAY,STRAY,10/6/17,,,
A258808,BIRD,M,1,0,CHICKEN,RED,BLACK,118,STRAY,STRAY,10/6/17,,,
A258870,CAT,N,0,1.3,DOMESTIC SH,GRAY,WHITE,113,STRAY,STRAY,10/11/17,,,
A259128,CAT,F,0,0.3,DOMESTIC SH,CALICO,,97,STRAY,STRAY,10/27/17,,,
A259484,BIRD,M,1,0,CHICKEN,WHITE,BLACK,72,STRAY,STRAY,11/21/17,,,
A259488,CAT,N,1,0,DOMESTIC SH,BLACK,WHITE,72,STRAY,STRAY,11/21/17,,,
A260001,CAT,N,1,0,DOMESTIC SH,TAB MAC WH,ORANGE,35,STRAY,STRAY,12/28/17,,,
A260167,OTHER,M,0,4,RAT,GRAY,WHITE,19,TRNSFR-EXT,RESCUE GRP,1/13/18,ADOPTION,NEW OWNER,1/26/18
A260175,OTHER,F,0,1.8,RAT,GRAY,,19,TRNSFR-EXT,RESCUE GRP,1/13/18,,,
A260180,OTHER,F,0,2,RAT,TAN,,19,TRNSFR-EXT,RESCUE GRP,1/13/18,,,
A258605,DOG,S,4,0,MIX THAT LOOKS LIKE A AM PIT BULL TER,TAN,,127,STRAY,STRAY,9/27/17,ADOPTION,TIER 3,1/2/18
A259797,CAT,S,0,5.5,DOMESTIC LH,TAB MAC WH,ORANGE,51,STRAY,STRAY,12/12/17,ADOPTION,NEW OWNER,1/2/18
A259966,CAT,N,2,0,DOMESTIC SH,BLACK,,36,STRAY,STRAY,12/27/17,ADOPTION,NEW OWNER,1/2/18
A259127,CAT,S,0,0.3,DOMESTIC SH,CALICO,,97,STRAY,STRAY,10/27/17,ADOPTION,NEW OWNER,1/3/18
A259189,CAT,S,0,0.3,DOMESTIC SH,CALICO,,97,STRAY,STRAY,10/27/17,ADOPTION,NEW OWNER,1/3/18
A256009,OTHER,M,1,0,MOUSE-DOMESTIC,WHITE,,267,STRAY,STRAY,5/10/17,ADOPTION,NEW OWNER,1/5/18
A260019,CAT,N,1,6,DOMESTIC SH,TAB CLS WH,BROWN,33,STRAY,STRAY,12/30/17,ADOPTION,NEW OWNER,1/5/18
A260179,OTHER,F,0,2,RAT,TAN,,19,TRNSFR-EXT,RESCUE GRP,1/13/18,,,
A260176,OTHER,F,0,2,RAT,TAN,,19,TRNSFR-EXT,RESCUE GRP,1/13/18,,,
A259929,CAT,S,8,0,DOMESTIC SH,TORTIE,,18,OWNER SUR,EVALUATION,1/14/18,ADOPTION,NEW OWNER,1/21/18
A259952,CAT,S,1,0,DOMESTIC LH,WHITE,,37,STRAY,STRAY,12/26/17,ADOPTION,NEW OWNER,1/6/18
A259970,CAT,N,14,0,DOMESTIC SH,WHITE,,36,STRAY,STRAY,12/27/17,EUTH,SICK-OTHER,1/6/18
A258641,CAT,N,6,0,DOMESTIC SH,GRAY,,18,RETURN,ADOPTION,1/14/18,ADOPTION,SPEC ADOPT,1/25/18
A258159,CAT,N,8,0,DOMESTIC SH,BLACK,,153,STRAY,STRAY,9/1/17,ADOPTION,NEW OWNER,1/7/18
A259890,CAT,N,2,0,DOMESTIC SH,BLACK,,44,STRAY,STRAY,12/19/17,ADOPTION,NEW OWNER,1/7/18
A259954,CAT,N,5,0,DOMESTIC SH,WHITE,BLACK,37,STRAY,STRAY,12/26/17,ADOPTION,NEW OWNER,1/7/18
A259751,CAT,N,0,2.8,DOMESTIC LH,GRAY,WHITE,56,STRAY,STRAY,12/7/17,ADOPTION,NEW OWNER,1/9/18
A259820,CAT,N,9,0,DOMESTIC LH,TAB MACKRL,BUFF,50,STRAY,STRAY,12/13/17,ADOPTION,NEW OWNER,1/9/18
A260193,CAT,N,3,0,DOMESTIC SH,TAB MACKRL,BUFF,16,CONFISCATE,EVICTION,1/16/18,ADOPTION,NEW OWNER,1/19/18
A201716,CAT,S,0,2.5,MIX THAT LOOKS LIKE A DOMESTIC SH,WHITE,BLACK,16,OWNER SUR,EUTH REQ,1/16/18,EUTH,OWN REQ,1/16/18
A260194,DOG,N,5,0,MIX THAT LOOKS LIKE A CHIHUAHUA SH,WHITE,TAN,16,OWNER SUR,EVALUATION,1/16/18,ADOPTION,TIER 3,1/25/18
A259681,BIRD,U,40,0,PARROT,GREEN,YELLOW,16,RETURN,ADOPTION,1/16/18,ADOPTION,NEW OWNER,1/20/18
A260191,CAT,S,1,0,DOMESTIC SH,BLACK,,16,TRNSFR-EXT,RESCUE GRP,1/16/18,,,
A260205,DOG,S,1,8,CHOW CHOW,APRICOT,,15,OWNER SUR,EVALUATION,1/17/18,TRNSFR-EXT,RESCUE GRP,1/24/18
A259787,DOG,S,1,0,MIX THAT LOOKS LIKE A GERM SHEPHERD,TAN,BLACK,15,RETURN,ADOPTION,1/17/18,ADOPTION,TIER 3,1/30/18
A260008,CAT,S,0,9,DOMESTIC SH,TAB MAC WH,BROWN,34,STRAY,STRAY,12/29/17,ADOPTION,NEW OWNER,1/10/18
A260207,DOG,N,6,3,BICHON FRISE / POODLE MIN,WHITE,,14,OWNER SUR,EVALUATION,1/18/18,,,
A259925,CAT,S,10,0,DOMESTIC LH,CALICO,,41,STRAY,STRAY,12/22/17,ADOPTION,NEW OWNER,1/11/18
A260208,CAT,N,5,0,DOMESTIC SH,TAB MACKRL,ORANGE,14,OWNER SUR,EVALUATION,1/18/18,ADOPTION,TIER 1,1/21/18
A260213,CAT,S,12,0,DOMESTIC SH,TORTIE,,14,OWNER SUR,EVALUATION,1/18/18,ADOPTION,NEW OWNER,1/23/18
A249404,CAT,S,10,0,DOMESTIC SH,TAB MACKRL,GRAY,14,OWNER SUR,EVALUATION,1/18/18,,,
A260212,CAT,N,5,10,DOMESTIC SH,WHITE,BLACK,14,STRAY,STRAY,1/18/18,RTO,MICROCHIP,1/19/18
A260210,DOG,S,1,6,MIX THAT LOOKS LIKE A GERM SHEPHERD,BLACK,TAN,14,TRNSFR-EXT,ACO,1/18/18,TRNSFR-EXT,ACO,1/25/18
A260206,DOG,S,10,0,MIX THAT LOOKS LIKE A BULL TERRIER,WHITE,TAN,14,TRNSFR-EXT,ACO,1/18/18,,,
A260214,CAT,N,3,0,DOMESTIC SH,TAB MAC WH,GRAY,14,TRNSFR-EXT,RESCUE GRP,1/18/18,ADOPTION,NEW OWNER,1/20/18
A260215,CAT,N,2,0,DOMESTIC SH,GRAY,WHITE,14,TRNSFR-EXT,RESCUE GRP,1/18/18,ADOPTION,NEW OWNER,1/21/18
A260221,DOG,N,3,0,MIX THAT LOOKS LIKE A MASTIFF,TAN,,13,OWNER SUR,EUTH REQ,1/19/18,EUTH,OWN REQ,1/19/18
A260222,CAT,N,2,0,DOMESTIC SH,TAB MAC WH,ORANGE,13,OWNER SUR,EVALUATION,1/19/18,ADOPTION,NEW OWNER,1/20/18
A260216,DOG,N,10,0,CHESA BAY RETR,CHOCOLATE,,13,STRAY,STRAY,1/19/18,RTO,OWNER,1/19/18
A260217,DOG,N,0,10,MIX THAT LOOKS LIKE A HARRIER,WHITE,BROWN,13,STRAY,STRAY,1/19/18,RTO,OWNER,1/19/18
A260219,OTHER,U,1,0,COTTONTAIL,BROWN,,13,WILDLIFE,WILDLIFE,1/19/18,EUTH,INJURED,1/19/18
A260224,CAT,S,14,0,SIAMESE,PT-CHOCOLA,,12,OWNER SUR,EUTH REQ,1/20/18,EUTH,OWN REQ,1/20/18
A260233,CAT,S,19,0,DOMESTIC LH,BROWN,TAB MACKRL,12,OWNER SUR,EUTH REQ,1/20/18,EUTH,OWN REQ,1/20/18
A260229,CAT,N,3,0,DOMESTIC LH,TAB MACKRL,BROWN,12,OWNER SUR,EVALUATION,1/20/18,ADOPTION,NEW OWNER,1/23/18
A259997,CAT,N,9,0,DOMESTIC SH,WHITE,GRAY,35,STRAY,STRAY,12/28/17,ADOPTION,NEW OWNER,1/14/18
A260234,DOG,S,7,0,YORKSHIRE TERR / POODLE TOY,TAN,,12,OWNER SUR,EVALUATION,1/20/18,ADOPTION,NEW OWNER,1/24/18
A259834,CAT,N,0,5.5,DOMESTIC SH,BLACK,WHITE,48,STRAY,STRAY,12/15/17,RELEASE,TNR,1/18/18
A259836,CAT,S,0,4.5,DOMESTIC LH,BLACK,,48,STRAY,STRAY,12/15/17,RELEASE,TNR,1/18/18
A260228,CAT,N,0,7,DOMESTIC SH,TAB MACKRL,BROWN,12,OWNER SUR,EVALUATION,1/20/18,ADOPTION,NEW OWNER,1/24/18
A260235,CAT,S,0,5,DOMESTIC SH,BLACK,,12,OWNER SUR,EVALUATION,1/20/18,ADOPTION,NEW OWNER,1/25/18
A259559,CAT,N,0,0.1,DOMESTIC SH,TAB SPOT,BROWN,68,STRAY,STRAY,11/25/17,ADOPTION,NEW OWNER,1/19/18
A260227,CAT,N,2,0,DOMESTIC SH,BLACK,,12,OWNER SUR,EVALUATION,1/20/18,ADOPTION,NEW OWNER,1/25/18
A260226,CAT,N,3,6,DOMESTIC LH,BLACK,,12,OWNER SUR,EVALUATION,1/20/18,RTO,UNADPTBLE,1/31/18
A260232,CAT,S,0,1.8,DOMESTIC SH,BLACK,WHITE,12,OWNER SUR,EVALUATION,1/20/18,ADOPTION,NEW OWNER,1/31/18
A260231,OTHER,S,6,0,FERRET,CINNAMON,,12,OWNER SUR,EVALUATION,1/20/18,,,
A258404,CAT,S,2,0,DOMESTIC SH,BLACK,,139,STRAY,STRAY,9/15/17,ADOPTION,NEW OWNER,1/20/18
A259297,CAT,S,0,0,DOMESTIC SH,BLACK,,88,STRAY,STRAY,11/5/17,ADOPTION,NEW OWNER,1/20/18
A259767,CAT,N,4,0,DOMESTIC SH,GRAY,,54,STRAY,STRAY,12/9/17,ADOPTION,NEW OWNER,1/20/18
A259775,CAT,N,0,0.5,DOMESTIC LH,BLACK,,53,STRAY,STRAY,12/10/17,ADOPTION,NEW OWNER,1/20/18
A260230,OTHER,N,1,6,FERRET,SABLE,,12,OWNER SUR,EVALUATION,1/20/18,,,
A260236,CAT,N,5,0,DOMESTIC LH,BLACK,,12,OWNER SUR,LAW ENFORC,1/20/18,ADOPTION,NEW OWNER,1/23/18
A259835,CAT,N,0,7,DOMESTIC LH,BLACK,,48,STRAY,STRAY,12/15/17,ADOPTION,TIER 1,1/21/18
A260018,CAT,S,2,0,DOMESTIC SH,BLACK,WHITE,33,STRAY,STRAY,12/30/17,ADOPTION,NEW OWNER,1/21/18
A260243,DOG,N,2,0,CHIHUAHUA SH,TAN,TAN,12,OWNER SUR,LAW ENFORC,1/20/18,ADOPTION,NEW OWNER,1/26/18
A260241,DOG,N,2,0,CHIHUAHUA SH,TAN,WHITE,12,OWNER SUR,LAW ENFORC,1/20/18,ADOPTION,TIER 2,1/27/18
A260242,DOG,N,2,0,CHIHUAHUA SH,TRICOLOR,,12,OWNER SUR,LAW ENFORC,1/20/18,ADOPTION,NEW OWNER,1/27/18
A260237,DOG,N,2,0,CHIHUAHUA SH,TRICOLOR,,12,OWNER SUR,LAW ENFORC,1/20/18,ADOPTION,TIER 2,1/28/18
A260239,DOG,N,2,0,CHIHUAHUA SH,TRICOLOR,,12,OWNER SUR,LAW ENFORC,1/20/18,ADOPTION,NEW OWNER,1/28/18
A260238,DOG,N,2,0,CHIHUAHUA SH,BROWN,TAN,12,OWNER SUR,LAW ENFORC,1/20/18,ADOPTION,NEW OWNER,1/28/18
A260240,DOG,N,2,0,CHIHUAHUA SH,TAN,BROWN,12,OWNER SUR,LAW ENFORC,1/20/18,,,
A259007,CAT,N,0,1.8,DOMESTIC SH,TAB MAC WH,BUFF,12,RETURN,ADOPTION,1/20/18,ADOPTION,NEW OWNER,1/23/18
A259558,CAT,S,0,0.1,DOMESTIC SH,TAB MACKRL,BLACK,68,STRAY,STRAY,11/25/17,EUTH,SICK-OTHER,1/27/18
A259851,BIRD,U,2,0,PIGEON,WHITE,,48,STRAY,STRAY,12/15/17,ADOPTION,NEW OWNER,1/27/18
A260244,CAT,S,0,8,DOMESTIC SH,TORTIE-DIL,,12,STRAY,STRAY,1/20/18,ADOPTION,NEW OWNER,1/27/18
A260225,CAT,S,2,8,DOMESTIC SH,BLACK,,12,STRAY,STRAY,1/20/18,,,
A260245,CAT,N,2,8,DOMESTIC SH,BLACK,WHITE,12,STRAY,STRAY,1/20/18,,,
A259415,CAT,S,5,0,DOMESTIC SH,BLACK,WHITE,36,STRAY,STRAY,12/27/17,ADOPTION,NEW OWNER,1/28/18
A260254,BIRD,M,1,0,CHICKEN,BROWN,,11,CONFISCATE,FIRE,1/21/18,,,
A258532,CAT,S,2,0,DOMESTIC SH,TAB CLASSI,ORANGE,132,STRAY,STRAY,9/22/17,ADOPTION,NEW OWNER,1/31/18
A260249,BIRD,U,0,3,DUCK,WHITE,,11,CONFISCATE,FIRE,1/21/18,,,
A259557,CAT,S,0,0.1,DOMESTIC SH,TAB CLASSI,BROWN,68,STRAY,STRAY,11/25/17,,,
A260247,BIRD,U,0,3,DUCK,WHITE,,11,CONFISCATE,FIRE,1/21/18,,,
A260258,BIRD,F,1,0,CHICKEN,BLACK,,11,CONFISCATE,FIRE,1/21/18,,,
A260250,BIRD,U,0,3,DUCK,WHITE,,11,CONFISCATE,FIRE,1/21/18,,,
A260253,BIRD,M,1,0,CHICKEN,BLACK,,11,CONFISCATE,FIRE,1/21/18,,,
A260256,BIRD,F,1,0,CHICKEN,BLACK,,11,CONFISCATE,FIRE,1/21/18,,,
A260248,BIRD,U,0,3,DUCK,WHITE,,11,CONFISCATE,FIRE,1/21/18,,,
A259423,BIRD,U,0,2,CHICKEN,BROWN,WHITE,77,STRAY,STRAY,11/16/17,,,
A259426,BIRD,U,0,2,CHICKEN,BROWN,WHITE,77,STRAY,STRAY,11/16/17,,,
A259425,BIRD,U,0,2,CHICKEN,BROWN,WHITE,77,STRAY,STRAY,11/16/17,,,
A259424,BIRD,U,0,2,CHICKEN,BROWN,WHITE,77,STRAY,STRAY,11/16/17,,,
A260255,BIRD,F,1,0,CHICKEN,BLACK,,11,CONFISCATE,FIRE,1/21/18,,,
A260257,BIRD,F,1,0,CHICKEN,BLACK,,11,CONFISCATE,FIRE,1/21/18,,,
A260251,OTHER,M,1,0,LIONHEAD,BROWN,,11,CONFISCATE,FIRE,1/21/18,,,
A260252,OTHER,F,1,0,DUTCH,BROWN,WHITE,11,CONFISCATE,FIRE,1/21/18,,,
A259773,DOG,S,5,0,MIX THAT LOOKS LIKE A PIT BULL,GRAY,WHITE,11,RETURN,ADOPTION,1/21/18,ADOPTION,TIER 3,1/26/18
A260246,OTHER,U,1,0,SQUIRREL-GRAY,GRAY,,11,WILDLIFE,WILDLIFE,1/21/18,EUTH,INJURED,1/21/18
