animal_id,animal_type,sex,yrs,mnth,breed,color_prim,color_sec,los,intake_type,intake_subtype,intake_date,outcome_type,outcome_subtype,outcome_date
A259498,DOG,S,0,2.5,SHIH TZU,BROWN,,71,CONFISCATE,LAW ENFORC,11/22/17,ADOPTION,NEW OWNER,1/19/18
A259511,DOG,S,0,0.5,SHIH TZU,WHITE,BROWN,71,CONFISCATE,LAW ENFORC,11/22/17,ADOPTION,NEW OWNER,1/24/18
A259512,DOG,N,0,0.5,SHIH TZU,WHITE,BROWN,71,CONFISCATE,LAW ENFORC,11/22/17,ADOPTION,NEW OWNER,1/29/18
A260020,LIVESTOCK,F,16,0,PONY,BROWN,,33,CONFISCATE,LAW ENFORC,12/30/17,,,
A260021,LIVESTOCK,N,11,0,DONKEY,GRAY,,33,CONFISCATE,LAW ENFORC,12/30/17,,,
A259232,DOG,S,3,0,CHIHUAHUA SH,TAN,,91,HMHL,SPAY,11/2/17,ADOPTION,TIER 1,1/25/18
A260048,CAT,N,10,0,DOMESTIC LH,TAB MACKRL,ORANGE,29,TRNSFR-EXT,RESCUE GRP,1/3/18,ADOPTION,NEW OWNER,1/24/18
A260049,CAT,S,2,0,DOMESTIC SH,TAB MACKRL,ORANGE,29,TRNSFR-EXT,RESCUE GRP,1/3/18,ADOPTION,SPEC ADOPT,1/24/18
A260042,BIRD,F,1,0,DUCK-MALLARD,BROWN,BLACK,29,WILDLIFE,WILDLIFE,1/3/18,TRNSFR-EXT,NEWC,1/6/18
A260063,DOG,S,13,0,BELG MALINOIS,BLACK,TAN,28,STRAY,STRAY,1/4/18,RTO,OWNER,1/5/18
A260066,DOG,S,3,0,PIT BULL,BRINDLE-DI,WHITE,27,CONFISCATE,EVICTION,1/5/18,TRNSFR-EXT,ACO,1/7/18
A260065,CAT,S,10,0,DOMESTIC LH,BLACK,,27,CONFISCATE,EVICTION,1/5/18,ADOPTION,NEW OWNER,1/13/18
A260068,DOG,N,1,0,MIX THAT LOOKS LIKE A BEAGLE,BLACK,WHITE,27,STRAY,STRAY,1/5/18,RTO,OWNER,1/5/18
A260067,CAT,N,2,6,DOMESTIC SH,BLACK,,27,STRAY,STRAY,1/5/18,RELEASE,TNR,1/10/18
A260071,CAT,N,2,6,DOMESTIC SH,TAB SPOT,BROWN,27,STRAY,STRAY,1/5/18,ADOPTION,NEW OWNER,1/26/18
A260069,CAT,N,0,1.2,DOMESTIC SH,BLACK,,27,STRAY,STRAY,1/5/18,,,
A260064,BIRD,U,1,0,DOVE-ROCK,GRAY,,27,WILDLIFE,WILDLIFE,1/5/18,EUTH,INJURED,1/5/18
A260070,BIRD,U,1,0,DOVE-ROCK,GRAY,,27,WILDLIFE,WILDLIFE,1/5/18,EUTH,INJURED,1/5/18
A260086,DOG,S,3,0,AUST CATTLE DOG,BLUE MERLE,,26,CONFISCATE,JAIL,1/6/18,RTO,OWNER,1/7/18
A260072,CAT,F,15,0,DOMESTIC SH,BLACK,,26,OWNER SUR,EUTH REQ,1/6/18,EUTH,OWN REQ,1/6/18
A259277,DOG,N,14,0,MIX THAT LOOKS LIKE A BORDER COLLIE,BLACK,WHITE,89,OWNER SUR,EUTH REQ,11/4/17,,,
A254166,BIRD,F,0,8,PHEASANT-GOLDEN,GOLD,,415,OWNER SUR,EVALUATION,12/13/16,,,
A259454,CAT,S,2,0,DOMESTIC SH,TAB MAC WH,BROWN,75,OWNER SUR,EVALUATION,11/18/17,,,
